seedling_id,soil type,treatment,replicate,diameter_mm,height_cm,stem_2_diameter_mm,stem_2_height_cm,observer,date
20.9200,burned,rutstroemia,1,1.78,7.7,,,,
20.9201,burned,rutstroemia,2,1.75,4.7,,4.8,,
20.9202,burned,rutstroemia,3,1.5,5.7,,,,
20.9203,burned,rutstroemia,4,1.72,5.4,,6,,
20.9204,burned,rutstroemia,5,1.51,5.8,,,,
20.9205,burned,rutstroemia,6,2.02,6.2,,,,
20.9206,burned,rutstroemia,7,1.58,5.4,,,,
20.9207,burned,rutstroemia,8,1.53,5.2,,5.6,,
20.9208,burned,rutstroemia,9,1.97,7,,7.8,,
20.9209,burned,rutstroemia,10,1.72,5.2,,6.1,,
20.9210,burned,rutstroemia,11,1.9,5.2,,,,
20.9211,burned,rutstroemia,12,1.53,5.7,,,,
20.9212,burned,alternaria,13,1.71,6.9,,,,
20.9213,burned,alternaria,14,2.02,6.6,,,,
20.9214,burned,alternaria,15,2.42,9.1,,,,
20.9215,burned,alternaria,16,1.37,5.1,,,,
20.9216,burned,alternaria,17,1.84,3,,,,
20.9217,burned,alternaria,18,1.91,7.2,,,,
20.9218,burned,alternaria,1,1.66,5.5,,,,
20.9219,burned,alternaria,2,2.11,6.8,,,,
20.9220,burned,alternaria,3,1.57,5.6,,,,
20.9221,burned,alternaria,4,1.94,7.6,,,,
20.9222,burned,alternaria,5,1.46,5.8,,,,
20.9223,burned,alternaria,6,2.09,7.5,,9,,
20.9224,burned,alternaria,7,2.3,7.4,,8.9,,
20.9225,burned,alternaria,8,1.59,5.7,,,,
20.9226,burned,alternaria,9,2.27,7.2,,8.2,,
20.9227,burned,alternaria,10,1.75,6.9,,8,,
20.9228,burned,alternaria,11,2.14,5.2,,,,
20.9229,burned,alternaria,12,2.37,9.9,,,,
20.9230,control,none,1,1.85,5.2,,,,
20.9231,control,none,2,2.28,4.6,,,,
20.9232,control,none,3,1.72,3.6,,,,
20.9233,control,none,4,2.17,5.2,,,,
20.9234,control,none,5,1.82,4.1,,,,
20.9235,control,none,6,2,5.2,,,,
20.9236,control,none,7,2.13,5.3,,,,
20.9237,control,none,8,1.93,5.5,,,,
20.9238,control,none,9,1.66,4.7,,,,
20.9239,control,none,10,2.02,5.4,,,,
20.9240,control,none,11,1.85,6,,,,
20.9241,control,none,12,2.36,7.1,,,,
20.9242,control,none,13,1.82,4.8,,,,
20.9243,control,none,14,1.94,4.2,,4.6,,
20.9244,control,none,15,1.73,5.6,,,,
20.9245,control,none,16,1.95,5,,,,
20.9246,control,none,17,2.01,4.2,,,,
20.9247,control,none,18,1.94,4,,,,
20.9248,control,none,19,1.7,3,,,,
20.9249,control,none,20,1.81,5.4,,,,
20.9250,control,leotiomycetes,1,1.91,4.7,,,,
20.9251,control,leotiomycetes,2,2.04,5,,,,
20.9252,control,leotiomycetes,3,1.9,5.2,,,,
20.9253,control,leotiomycetes,4,1.73,5,,,,
20.9254,control,leotiomycetes,5,1.71,4,,,,
20.9255,control,leotiomycetes,6,1.45,4,,,,
20.9256,control,leotiomycetes,7,1.87,5.2,,,,
20.9257,control,leotiomycetes,8,2.55,6.5,,,,
20.9258,control,leotiomycetes,9,1.89,4.2,,,,
20.9259,control,leotiomycetes,10,1.86,6.5,,,,
20.9260,control,leotiomycetes,11,2.32,6.8,,,,
20.9261,control,leotiomycetes,12,1.83,6.2,,,,
20.9262,control,leotiomycetes,13,1.93,5.5,,,,
20.9263,control,leotiomycetes,14,1.84,4,,,,
20.9264,control,leotiomycetes,15,2.06,3.5,,,,
20.9265,control,leotiomycetes,16,2.17,6,,,,
20.9266,control,leotiomycetes,17,1.59,4.8,,,,
20.9267,control,leotiomycetes,18,1.83,6.3,,,,
20.9268,control,leotiomycetes,19,1.93,5.8,,,,
20.9269,control,leotiomycetes,20,2.19,6.3,,,,
20.9270,control,rutstroemia,1,1.84,6,,,,
20.9271,control,rutstroemia,2,1.72,4.7,,,,
20.9272,control,rutstroemia,3,2.08,6.9,,7.3,,
20.9273,control,rutstroemia,4,2.1,7,,,,
20.9274,control,rutstroemia,5,1.7,5.7,,,,
20.9275,control,rutstroemia,6,1.92,6,,,,
20.9276,control,rutstroemia,7,1.56,3.5,,,,
20.9277,control,rutstroemia,8,2.21,5.9,,,,
20.9278,control,rutstroemia,9,1.96,6.5,,,,
20.9279,control,rutstroemia,10,1.7,5.7,,,,
20.9280,control,rutstroemia,11,1.87,5.9,,,,
20.9281,control,rutstroemia,12,1.85,6,,,,
20.9282,control,rutstroemia,13,1.44,3.9,,,,
20.9283,control,rutstroemia,14,2.13,6.5,,,,
20.9284,control,rutstroemia,15,1.79,5.5,,,,
20.9285,control,rutstroemia,16,1.91,6,,,,
20.9286,control,rutstroemia,17,2,6.1,,,,
20.9287,control,rutstroemia,18,2.47,7.1,,,,
20.9288,control,rutstroemia,19,1.94,5.6,,,,
20.9289,control,rutstroemia,20,2.98,6.1,,,,
20.9290,control,alternaria,1,1.83,5.2,,,,
20.9291,control,alternaria,2,1.85,5.1,,,,
20.9292,control,alternaria,3,1.87,4.1,,,,
20.9293,control,alternaria,4,2.58,8.3,,,,
20.9294,control,alternaria,5,1.87,7.5,,,,
20.9295,control,alternaria,6,1.94,4.7,,,,
20.9296,control,alternaria,7,1.69,4.5,,,,
20.9297,control,alternaria,8,1.68,6.1,,,,
20.9298,control,alternaria,9,1.53,3.9,,,,
20.9299,control,alternaria,10,1.69,6,,,,
20.9300,control,alternaria,11,1.35,3.1,,,,
20.9301,control,alternaria,12,2.76,4.2,,,,
20.9302,control,alternaria,13,1.68,5,,,,
20.9303,control,alternaria,14,,,,,,
20.9304,control,alternaria,15,,,,,,
20.9305,control,alternaria,16,,,,,,
20.9306,control,alternaria,17,1.83,5.2,,,,
20.9307,control,alternaria,18,1.92,6,,,,
20.9308,control,alternaria,19,1.87,5.2,,,,
20.9309,control,alternaria,20,2.04,5.9,,,,
20.9310,control,alternaria,21,1.65,4,,,,
20.9311,control,alternaria,22,1.82,6,,,,
20.9312,control,alternaria,23,1.65,5,,,,
20.9313,psma,none,13,,,,,,
20.9314,psma,none,14,,,,,,
20.9315,psma,none,15,,,,,,
20.9316,control,none,21,1.5,3,,,,
20.9317,control,none,22,1.88,5.7,,,,
20.9318,control,none,23,1.91,5.1,,,,
20.9319,control,none,24,1.83,5.2,,,,
